caseid,acronym,country,region,region_n,agent,inarea,mndt,hcons,inttype,inttype_n2,intcat,intcat_n,yearbeg,yearbeg_n,yearend,durays,duram,duram_n,person,person_n,fatal,status,status_n2,status_n,ch7,ch7_n,srcadis,srcadis_n,srctpi,srctpi_n,srcsipr_n,srcoth,bef1992,bef1991,bef1992a
238,MINUCI,Cote d'Ivoire,SSA,SSA,UN,.,"UNSC Res. 1479 (May 13, 2003); Linas-Marcoussis Peace Agreement",1,OTHER,OTHER,UNUN,UNUN,2003,2003,2004 April,.,11,11,142,142,.,UN-6,2,UN-6,1,1,0,0,1,1,1,,after 1992,From 1992 onwards,1
239,UNOMUR,Rwanda,SSA,SSA,UN,.,"UNSC Res. 846 (June 22, 1993)",1,OBSR,OBSR,UNUN,UNUN,1993,1993,1994 September,"1,2",15,15,81,81,.,UN-6,2,UN-6,0,0,1,1,1,1,0,,after 1992,From 1992 onwards,1
240,UNTAG,Namibia,SSA,SSA,UN,.,"UNSC Res. 385 (January 30, 1976); UNSC Res. 431 (July 27, 1978); UNSC Res. 435 (September 29, 1978) ;UNSC Res. 632 (February 16, 1989)",1,KEEP,KEEP,UNUN,UNUN,1989,1989,1990 March,"0,3",13,13,6000,6000,.,UN-6,2,UN-6,0,0,1,1,1,1,0,(Mays 2011: Pos. 494),before 1992,Up until 1991,0
241,French PKM in Central African Republic (Sangaris),Central African Republic,SSA,SSA,ADHOCIS,0,"UNSC Res. 2127 (December 5, 2013)",1,KEEP,KEEP,UNIS,UNIS,2013,2013,2016 October,1.2,15,15,2000,2000,.,UN-A-7,4,UN-A-7,1,1,0,0,1,1,0,,after 1992,From 1992 onwards,1
242,French PKM in Central African Republic (Boali),Central African Republic,SSA,SSA,ADHOCIS,0,"UNSC Res. 2127 (December 5, 2013)",1,KEEP,KEEP,UNIS,UNIS,2013,2013,2016 October,0.3,3,3,2000,2000,.,UN-A-7,4,UN-A-7,1,1,0,0,1,1,0,,after 1992,From 1992 onwards,1
243,Operation Pelican,Albania,EUR,EUR,ADHOCIS,0,.,1,OTHER,OTHER,ISIS,ISIS,1991,1991,1993 December,2.3,27,27,750,750,.,NUN,1,NUN,0,0,0,0,1,1,0,,before 1992,Up until 1991,0
244,MNPF Albania,Albania,EUR,EUR,ADHOCIS,0,"UNSC Res. 1101 (March 28, 1997)",1,KEEP,KEEP,UNIS,UNIS,1997,1997,1997 August,0.3,3,3,7000,7000,.,UN-A-7,4,UN-A-7,1,1,0,0,1,1,0,,after 1992,From 1992 onwards,1
245,WEU-Multinational Advisory Police Element (MAPE),Albania,EUR,EUR,WEU,0,"WEU Council (May 2, 1997)",1,OTHER,OTHER,RORO,RORO,1997,1997,2001 May,4,48,48,150,150,.,NUN,1,NUN,0,0,0,0,1,1,1,,after 1992,From 1992 onwards,1
246,AFISM-CAR,Central African Republic,SSA,SSA,AU,1,"UNSC Res. 2127 (December 5, 2013)",1,KEEP,KEEP,UNRO,UNRO,2013,2013,2014 September,0.7,9,9,5600,5600,.,UN-A-7,4,UN-A-7,1,1,0,0,1,1,0,,after 1992,From 1992 onwards,1
247,UNPROFOR Croatia,Croatia,EUR,EUR,UN,.,"UNSC Res. 743 (February 21, 1992)",1,KEEP,KEEP,UNUN,UNUN,1992,1992,1995 March,3.1,37,37,15812,15812,.,UN-7,3,UN-7,1,1,0,0,1,1,0,,before 1992,From 1992 onwards,0
248,Caribbean Peacekeeping Force in Grenada,Grenada,LAC,LAC,OECS,1,OECS mandate,1,KEEP,KEEP,RORO,RORO,1983,1983,1985 September,1.9,23,23,800,800,.,NUN,1,NUN,0,0,0,0,1,1,0,https://www.globalsecurity.org/military/ops/urgent_fury.htm,before 1992,Up until 1991,0
249,UNSMIH,Haiti,LAC,LAC,UN,.,"UNSC Res. 1063 (June 28, 1996)",1,KEEP,KEEP,UNUN,UNUN,1996,1996,1997 July,1.1,13,13,1588,1588,.,UN-6,2,UN-6,0,0,1,1,1,1,0,,after 1992,From 1992 onwards,1
250,JVM-Mozambique,Mozambique,SSA,SSA,ADHOCOA,1,General Peace Agreement for Mozambique (1992),1,OBSR,OBSR,ISIS,ISIS,1990,1990,1992 December,2,24,24,38,38,.,NUN,1,NUN,0,0,0,0,1,1,0,https://peaceaccords.nd.edu/provision/verificationmonitoring-mechanism-general-peace-agreement-mozambique,before 1992,Up until 1991,0
251,Operation Support Hope,Rwanda,SSA,SSA,ADHOCIS,0,,,KEEP,KEEP,ISIS,ISIS,1994,1994,1994 September,0.1,2,2,3050,3050,.,NUN,1,NUN,0,0,0,0,1,1,0,,after 1992,From 1992 onwards,1
252,UNPROFOR Macedonia,Macedonia,EUR,EUR,UN,.,"UNSC Res. 743 (February 21, 1992)",1,KEEP,KEEP,UNUN,UNUN,1992,1992,1995 March,3.8,28,28,1150,1150,.,UN-6,2,UN-6,0,0,0,0,1,1,0,,before 1992,From 1992 onwards,1
253,"French PKM-Mali (Serval, Barkhane)",Mali,SSA,SSA,ADHOCIS,0,"UNSC Res. 2085 (December 20, 2012), official request by government of Mali",1,KEEP,KEEP,ISIS,ISIS,2013,2013,2014 July,1.5,18,18,4000,4000,.,NUN,1,NUN,1,1,0,0,1,1,0,https://en.wikipedia.org/wiki/Operation_Serval,after 1992,From 1992 onwards,1
254,APAM,Papua New Guinea,PAC,PAC,ADHOCIS,.,.,1,OTHER,OTHER,ISIS,ISIS,2004,2004,2005 May,0.5,6,6,210,210,.,NUN,1,NUN,0,0,0,0,1,1,0,,after 1992,From 1992 onwards,1
255,Nigerian PKM Tanzania,Tanzania,SSA,SSA,ADHOCIS,1,.,1,KEEP,KEEP,ISIS,ISIS,1964,1964,1964 September,0.5,6,6,500,500,.,NUN,1,NUN,0,0,0,0,1,1,0,,before 1992,Up until 1991,0
256,EU Support to AMIS,Sudan (Darfur),SSA,SSA,EU,0,"EU Council Joint Action 2005/557/CFSP (July 18, 2005)",1,OTHER,OTHER,RORO,RORO,2005,2005,2007,2.4,29,29,150,150,.,NUN,1,NUN,0,0,0,0,1,1,0,,after 1992,From 1992 onwards,1
257,Symbolic Arab Security Force,Lebanon,MENA,MENA,LAS,1,"League of Arab States Decision (October 15, 1976)",1,KEEP,KEEP,RORO,RORO,1976,1976,1976 October,0.5,5,5,2500,2500,.,NUN,1,NUN,.,,0,0,1,1,0,"Mays, Terry M. 2004. Historical Dictionary of Mulitnational Peacekeeping, Lanham: Scarecrow Press, p. xxvi",before 1992,Up until 1991,0
258,EUMM Macedonia,Macedonia,EUR,EUR,EU,0,.,1,OTHER,OTHER,RORO,RORO,1998,1998,2007 Dec,9.8,117,117,.,,2,NUN,1,NUN,0,0,0,0,1,1,1,,after 1992,From 1992 onwards,1
259,UNCIAV,Nicaragua,LAC,LAC,UN,.,"UNSC Res. 653 (April 20, 1990)",1,OBSR,OBSR,UNUN,UNUN,1989,1989,1990 June,1.3,15,15,10,10,.,UN-6,2,UN-6,0,0,0,0,1,1,0,,before 1992,Up until 1991,0
260,OASCIAV,Nicaragua,LAC,LAC,OAS,1,.,1,OBSR,OBSR,UNRO,UNRO,1989,1989,1990 June,1.2,14,14,.,,.,NUN,1,NUN,0,0,0,0,1,1,0,,before 1992,Up until 1991,0
261,Commonwealth Monitoring Force-Zimbabwe,Rhodesia/Zimbabwe,SSA,SSA,COMWN,1,"Annex E, Lancaster House Ceasefire Agreement (December 21, 1979)",1,OBSR,OBSR,RORO,RORO,1979,1979,1980 March,0.3,3,3,1548,1548,0,NUN,1,NUN,0,0,1,1,1,1,0,Mays 2001,before 1992,Up until 1991,0
262,OMS-Syria,Syria,MENA,MENA,LAS,1,"LAS Council Res. 7436 (November 2, 2011)",1,OBSR,OBSR,RORO,RORO,2011,2011,2012 January,0.1,1,1,165,165,.,NUN,1,NUN,0,0,0,0,1,1,0,http://uca.edu/politicalscience/dadm-project/middle-eastnorth-africapersian-gulf-region/syria-1946-present/,after 1992,From 1992 onwards,1
263,CJTF-Tonga,Tonga,SSA,SSA,ADHOCOA,1,.,1,OTHER,OTHER,ISIS,ISIS,2006,2006,2006,0.1,1,1,228,228,.,NUN,1,NUN,0,0,0,0,1,1,0,,after 1992,From 1992 onwards,1
