caseid,acronym,country,region,region_n,agent,inarea,mndt,hcons,inttype,inttype_n2,intcat,intcat_n,yearbeg,yearbeg_n,yearend,durays,duram,duram_n,person,person_n,fatal,status,status_n2,status_n,ch7,ch7_n,srcadis,srcadis_n,srctpi,srctpi_n,srcsipr_n,srcoth,bef1992,bef1991,bef1992a
45,UNCRO,Croatia,EUR,EUR,UN,.,"UNSC Res. 981 (March 31, 1995); UNSC Res. 990 (Aprial 28, 1995)",1,KEEP,KEEP,UNUN,UNUN,1995,1995,1996 January,0.7,8,8,7071,7071,16,UN-7,3,UN-7,1,1,1,1,1,1,0,,after 1992,From 1992 onwards,1
46,UNTAES,Croatia,EUR,EUR,UN,.,"UNSC Res. 1037 (January 15, 1996)",1,KEEP,KEEP,UNUN,UNUN,1996,1996,1998 January,2,24,24,5561,5561,11,UN-7,3,UN-7,1,1,1,1,1,1,0,,after 1992,From 1992 onwards,1
47,UNMOP,Croatia,EUR,EUR,UN,.,"UNSC Res. 1038 (January 15, 1996)",1,KEEP,KEEP,UNUN,UNUN,1996,1996,2002 December,6.9,83,83,28,28,0,UN-6,2,UN-6,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
48,UNMIH,Haiti,LAC,LAC,UN,.,"UNSC Res. 867 (September 23, 1993); UNSC Res. 940 (July 31, 1994); UNSC Res. 975 (January 30, 1995)",1,KEEP,KEEP,UNUN,UNUN,1996,1996,1997 July,1,12,12,1588,1588,1,UN-6,2,UN-6,0,0,1,1,1,1,0, https://history.state.gov/milestones/1993-2000/haiti,after 1992,From 1992 onwards,1
49,UNTMIH,Haiti,LAC,LAC,UN,.,"UNSC Res. 1123 (July 30, 1997)",1,OTHER,OTHER,UNUN,UNUN,1997,1997,1997 November,0.3,3,3,300,300,0,UN-6,2,UN-6,0,0,1,1,0,0,0,,after 1992,From 1992 onwards,1
50,MIPONUH,Haiti,LAC,LAC,UN,.,"UNSC Res. 1141 (November 28, 1997)",1,OTHER,OTHER,UNUN,UNUN,1997,1997,2000 March,2.3,27,27,300,300,7,UN-6,2,UN-6,0,0,1,1,0,0,1,,after 1992,From 1992 onwards,1
51,UNOL,Liberia,SSA,SSA,UN,.,"November 1, 1997; UNSC Report S/2003/875",1,OTHER,OTHER,UNUN,UNUN,1997,1997,2003 July,6.4,77,77,.,,0,UN-7,3,UN-7,1,1,1,1,0,0,0,http://www.naiau.kiev.ua/smc/en/missions/current-missions/liberia.html,after 1992,From 1992 onwards,1
52,MINUGUA,Guatemala,LAC,LAC,UN,.,"UNSC Res. 1094 (January 20, 1997); Ceasefire Agreement between the Government of Guatemala and the Unidad Revolucionaria Nacional Guatemalteca",1,OBSR,OBSR,UNUN,UNUN,1997,1997,1997 May,0.3,4,4,132,132,0,UN-6,2,UN-6,0,0,1,1,1,1,1,,after 1992,From 1992 onwards,1
53,MONUA,Angola,SSA,SSA,UN,.,"UNSC Res. 1118 (June 30, 1997)",1,OBSR,OBSR,UNUN,UNUN,1997,1997,1999 February,1.7,20,20,3568,3568,22,UN-6,2,UN-6,0,0,1,1,1,1,0,,after 1992,From 1992 onwards,1
54,MINURCA,Central African Republic,SSA,SSA,UN,.,"UNSC Res. 1159 (March 27, 1998)",1,KEEP,KEEP,UNUN,UNUN,1998,1998,2000 February,1.8,22,22,1374,1374,2,UN-7,3,UN-7,1,1,1,1,1,1,0,,after 1992,From 1992 onwards,1
